,input,target
0,there .,where ?
1,you have my word . as a gentleman,you re sweet .
2,hi .,looks like things worked out tonight huh ?
3,have fun tonight ?,tons
4,well no . . .,then that s all you had to say .
5,then that s all you had to say .,but
6,but,you always been this selfish ?
7,do you listen to this crap ?,what crap ?
8,what good stuff ?,the real you .
9,wow,let s go .
10,she okay ?,i hope so .
11,they do to !,they do not !
12,did you change your hair ?,no .
13,no .,you might wanna think about it
14,who ?,joey .
15,great,would you mind getting me a drink cameron ?
16,it s more,expensive ?
17,where ve you been ?,nowhere . . . hi daddy .
18,what ?,in th . for a month
19,in th . for a month,why ?
20,why ?,he was like a total babe
21,he was like a total babe,but you hate joey
22,you looked beautiful last night you know .,so did you
23,let go !,you set me up .
24,you set me up .,i just wanted
25,but she doesn t want to date .,exactly my point
26,daddy i,and where re you going ?
27,oh god . it s starting .,it s just a party . daddy .
28,daddy no !,just for a minute
29,why ?,because she ll scare them away .
30,the prom ? kat has a date ?,no but
31,you the new guy ?,so they tell me . . .
32,so which dakota you from ?,north actually . how d you ?
33,north actually . how d you ?,i was kidding . people actually live there ?
34,how many people were in your old school ?,thirty two .
35,thirty two .,get out !
36,get out !,how many people go here ?
37,how many people go here ?,couple thousand . most of them evil
38,what about him ?,you wanna go out with him ?
39,it s a lung cancer issue,her favorite uncle
40,her favorite uncle,dead at forty one .
41,he s pretty !,okay ! i wasn t sure
42,cameron i m a little busy,it s off . the whole thing .
43,cameron do you like the girl ?,sure
44,sure,then go get her
45,she kissed me .,where ?
46,what s the worst ?,you get the girl .
47,hey do you mind ?,not at all
48,where ya goin ?,away .
49,away .,your sister here ?
50,leave my sister alone .,and why would i do that ?
51,yeah,what do you think ?
52,you just said,you need money to take a girl out
53,what ?,a hundred bucks a date .
54,a hundred bucks a date .,forget it .
55,forget it .,forget her sister then .
56,it s about time .,a deal s a deal .
57,how d you do it ?,do what ?
58,do what ?,get her to act like a human
59,hey .,are you lost ?
60,are you lost ?,nope just came by to chat
61,nope just came by to chat,we don t chat .
62,i hear you re helpin verona .,uh yeah . we re old friend
63,uh yeah . we re old friend,you and verona ?
64,he always look so,block e ?
65,william didn t even go to high school,that s never been proven
66,you think this ll work ?,no fear .
67,what d he say ?,who cares ?
68,have you seen him ?,who ?
69,who ?,william he asked me to meet him here .
70,pick you up friday then,oh right . friday .
71,you covered in my vomit .,seven thirty ?
72,excuse me ?,that s what you want isn t it ?
73,i say do what you wanna do .,funny you re the only one
74,okay ?,i m fine . i m
75,you re not okay .,i just need to lie down for awhile
76,why re you doing this ?,i told you
77,i told you,you don t care if i die
78,you don t care if i die,sure i do
79,sure i do,why ?
80,why d you let him get to you ?,who ?
81,i thought you were above all that,you know what they say
82,kat ! wake up !,what ?
